,1000,2000,3000,4000,5000,6000,7000,8000,9000
brute,43.926,170.994,410.235,748.856,1259.241,1808.962,2524.611,3494.530,4327.499
smarter,0.389,0.815,1.338,2.205,2.405,2.914,3.456,3.897,4.525
smartest,0.175,0.363,0.715,0.738,0.889,1.190,1.357,1.605,1.794
